user_name	user_verified
?ù???ù???ù?Ò?ù?Ê?ù???ù?® ?ù?ú?ù?®?ù???ù?Å?ù???ù?´ ?ù???ù???ù?Ø?ù???ù?Ê	FALSE
Vivek Mishra	FALSE
Vinayakk	FALSE
Fiona da Wabbitt	FALSE
Rajat Gautam Ö?¯Ö??Ö?? Ö??Öù?Ö??Ö?? ????????	FALSE
Pratik Lashkari????????	FALSE
IndraprasthSanjeevni	FALSE
Emma	FALSE
Rin_UK	FALSE
Dr.Avinash Kr. Tiwari	FALSE
Cignal TV	FALSE
Rowey	FALSE
???¨êêê?êêê?†??o É??É??É??É?ùÉ?úÉ?? ???????????Å???¯????????	FALSE
Girls on the Ball	FALSE
BetBoro	FALSE
Deepak Pandey	FALSE
David Sn ????	FALSE
Vito Martin	FALSE
Maddy Ravi	FALSE
Claire Christian	FALSE
Ankit Goel	FALSE
Wasim Akram	FALSE
Rajat Bhargava	FALSE
Subham Karmakar ????????	FALSE
Alpine Warriors	FALSE
Mark Pickering ??è?¢ˇÅ?¢ˇÅõ¢ˇÅ˙¢ˇÅ™¢ˇÅ?¢ˇÅ®???????Ê?ü??ü¨???	FALSE
Hazel	FALSE
Kickstart Football Club	FALSE
(Ö?¯Ö??Ö?˙ÖùçÖ??ÖùçÖ?¯Ö?ÊÖ??Ö??Öù? Ö??Ö??Ö??ÖùçÖ??Ö?? Ö?¶ÖùçÖ?¯Ö??Ö??Ö?¶Ö??Ö?®)	FALSE
Anurag Sinha	FALSE
Nehru Yuva Kendra Belagavi	FALSE
learnthedigital	FALSE
Eloy Abel M. Mattan??	FALSE
Ian Anderson	FALSE
Anesa Topko	FALSE
MAVERICK ???Ò	FALSE
Naveen Peter	FALSE
??è?ã?èÉ?ç????Elizabeth??è?ã?èÉ?ç????	FALSE
AmazingNews	FALSE
Ms.Womba-Wuta Wanki	FALSE
Dr Rohit Bhaskar	FALSE
Vllaznim HALILI	FALSE
Olympics Results	FALSE
Rosebud	FALSE
India Today Sports	FALSE
ALOK CHAUDHARY	FALSE
V??ctor	FALSE
Deebedaba	FALSE
Demogorgan	FALSE
Tokyo Olympics Updates	FALSE
SwimSwam Live	FALSE
Aaron Misa Dimaano	FALSE
Update News 360 English	FALSE
Ö??Ö?®Ö?ÊÖ?? Ö??ÖùÅÖ??Ö??Ö?¯ Ö??Ö?®Ö??ÖùçÖ?¯Ö??	FALSE
Women's Tennis Blog	FALSE
Sophie Taylor ???Æ	FALSE
Sajid Silawat	FALSE
Ambasador Sports	FALSE
Richard Kidston	FALSE
Sean  Wilson	FALSE
Advocate Bikram Singh Sidhu	FALSE
Abhijeet Kulkarni	FALSE
BEPOPëÊ?äç?	FALSE
Swim Wales	FALSE
Permita Adi	FALSE
WALID Infographics	FALSE
G a l i l e o ??™ ?ü¶ ?ü™ ??¶	FALSE
Abhishek Mani Tripathi	FALSE
Anirban Paul	FALSE
Johan Hokke	FALSE
Third Eye Centre	FALSE
VISHWA SAMVAD KENDRAM	FALSE
Bishoy Bassilious	FALSE
RC SAINI ????????	FALSE
mantis shrimp are cool	FALSE
TAR	FALSE
Abhijeet Rao ????????	FALSE
Ashish kumar	FALSE
Mutwiri Mutuota	FALSE
Mukesh Srivastwa	FALSE
Sajid Silawat	FALSE
Wokeflix	FALSE
Sportify-GlutenFree	FALSE
Mayank Chawla	FALSE
Pulkit Puri	FALSE
Rajesh Ranjan	FALSE
Mind Wars	FALSE
???????? Sachin Fan account ????????	FALSE
Bonn Group	FALSE
SYOK Malaysia	FALSE
W	FALSE
Tristan D'Amours	FALSE
Jude	FALSE
Matthew Rimmer	FALSE
One Sports	FALSE
Gamze G?¨ler	FALSE
Mas Ralai // ghosting phase	FALSE
Eloy Abel M. Mattan??	FALSE
Sayan	FALSE
Roehl Sybing	FALSE
Bill Callaghan	FALSE
John Ryan	FALSE
Femi Ogundipe	FALSE
Giarc Nibisna ???˝???????ß	FALSE
malgosia skawinski.	FALSE
zamaa0204	FALSE
Donb	FALSE
JCBL Group	FALSE
anon69	FALSE
Natasha Aylott	FALSE
RamChandra Valmiki	FALSE
Jonas Creteur	FALSE
MAKSAQ	FALSE
wimbytickets	FALSE
Dhanji Jewels	FALSE
european pressphoto agency	FALSE
Rachel Stout	FALSE
SwimSwam Live	FALSE
E. Coronel ???????˙ ??èÅ	FALSE
Fithh!	FALSE
Gss????????	FALSE
ormiga	FALSE
M	FALSE
Presto Chango	FALSE
Olympic Updates India	FALSE
Tweets For Better Reach	FALSE
Simon Horbury	FALSE
Olly Offord	FALSE
Jowi Tv	FALSE
???? Kate Marie ????	FALSE
yolanda hopkins	FALSE
????Leah Gilkes????	FALSE
Dr! RK Crosby	FALSE
Bhopal Airport	FALSE
Karthik K	FALSE
???????? Kupwara. BJP UT ST@Gujjar - Bakerwal	FALSE
SwaraÉù?	FALSE
Richard Lusmore	FALSE
Refrain	FALSE
ImmortalÉ?ˇã?è	FALSE
Lachlan McKirdy	FALSE
Sportoraid Culture	FALSE
Kate Pattison	FALSE
Mohankumar	FALSE
Kate T	FALSE
Georgia Doyle	FALSE
Amir Zuhair Zulkefly ??	FALSE
Christine Spadafora	FALSE
Rob Weaver	FALSE
Pakistan Olympic Association	FALSE
Ö??Ö?®Ö?ÊÖ??Ö??Ö?¯ Ö??Ö?®Ö??Ö??	FALSE
The Cursed KnightÉ?õ	FALSE
fortunately human	FALSE
Nikhil Mathur	FALSE
Guy É?????????Ò	FALSE
Tennis365	FALSE
pradeep bansal	FALSE
Ravindra Patel	FALSE
iKenApp	FALSE
The Bridge	FALSE
MITHLESH KAUSHIK	FALSE
Jason Veale	FALSE
Eloy Abel M. Mattan??	FALSE
Veerayyappa Swami MM	FALSE
haiqaloyar???Ê????	FALSE
CHILDLINE	FALSE
skullohmania É?õ #LetLeniLead	FALSE
Jowi Tv	FALSE
Saboteur Aesop ???Ê	FALSE
Francis T. J. Ochoa	FALSE
Patrice Touchard	FALSE
É??MASSÉ?? #TIGER3	FALSE
Pablo Nazareno	FALSE
Playa???¯???ù| The Money Maker???Ê	FALSE
Deepak Sinha	FALSE
Sheila Babudas	FALSE
Scott Smith	FALSE
