user_name	user_friends
" Çü? É?? icon:   opendaybreak_"""	FALSE
Rappler Sports	147
News18 Sports	442
"Boxing: Vikas Krishan's campaign in welterweight division comes to an end. He loses tÉ?? https://t.co/yKrjYpysxp"""	1
USA Rugby	1343
"#Tokyo2020 https://t.co/fLssGj82Go"""	1
Diversity Designs?? & SmileCloudsÉ?õã?è by Busy Life	5003
Tom Hinabo	85
Wai-Lee Ho	675
Digi Explorer	7
"#India is pÉ?? https://t.co/QzeMSrVbn9"""	0
Carlo Anolin	167
Insert Name Here	3249
SPP Media Communication	563
Kristel Satumbaga	41
"Yashpratap Shrimal,IPS"	556
"#Olympics #MirabaiChanu #TeamIndia #Tokyo2020 https://t.co/OjM2Uth6Wr"""	0
Dwight Jason Ronan	271
Satish Upadhyay	890
"#Cheer4India #Tokyo2020 https://t.co/4MOF5NjmEo"""	0
Pradip_Madgaonkar	681
"#MirabaiChanu  #silvermedalÉ?? https://t.co/9qTwieMZaL"""	0
Nishar Ahamed	731
"The World No. 2ã?èÉüú clinched thÉ?? https://t.co/izt0GA8p5D"""	0
Priya - PRO	1515
Matthew Freebury ??????èØÉ?ç???Ø	163
"#Tokyo2020 | @AUSOlympicTeam"""	0
Vaibhav Mukhija	267
"#OlympicGames #Tokyo2020"""	0
LAKSHYA	259
Lanrick Bennett Jr.	4953
Firstpost Sports	857
"He was on back foot from the opening rouÉ?? https://t.co/VePraVrAPO"""	0
Sanjay Kishore	536
vikram	906
Shailja Kulshreshtha	25
"#Tokyo2020"""	0
Gaurav Gulati	557
"#boxing #Olympics #OlympicGames #Tokyo2020"""	0
Shakti Sikarwar	160
Kevin Baxter	823
Philip Martin Matel	323
Deepak Pandey	203
"Proud Moment For All IndÉ?? https://t.co/hs4sWfOXyU"""	0
Tejbir Singh????????	210
Tony Tannous	1598
Dr Darren Saunders	3181
"#winning #tokyo2020 https://t.co/tm41V5myqf"""	0
Garrick Knight	581
Debasish Sinha	1386
Saurabh Salimkumar	171
"Go Mira! É?ùã?è https://t.co/nNGuK6kXnW"""	0
kris	192
Keshri Nandan Prasad Gupta	247
"Mirabai Chanu wins India's 1st medal at #Tokyo2020 after winning a Silver medal in the wÉ?? https://t.co/yEhXE7q5O2"""	1
Gururaj Bhatia	1314
Abid Siddiqui ????????	1167
"India's Vikas Krishan Yadav lost to Japan's competitor in the very first gÉ?? https://t.co/p5hj57a2U1"""	0
nasÉÅ˙??è?ã?èÉ?ç????	278
HT Sports	350
Mandar Suhas Chakradeo	100
Dr.V????É??ã?è	3830
"#Proud #DistriaKrasniqi #Judo https://t.co/EhV8kpngj4"""	0
Nikhila	761
Sarah Breslin Knaap	618
"They've done immense work to be there eachÉ?? https://t.co/CLPkVxJBZq"""	0
Liahm O'Brien	861
The Bridge	169
"???????Ê S.Q.M. Okazawa takes the win over the Indian 5Éüú-0Éüú.É?? https://t.co/iGr8cno27p"""	0
INQUIRER Sports	522
Grace Mwelu	1794
"This girl is about to make a move from her #OlympicGames  perfoÉ?? https://t.co/FSxwqmlVTc"""	0
SABC Sport	720
"#YouDeserveIt  #Tokyo2020 https://t.co/ri2MWwrzT1"""	1
Anks Kumar	551
"#CBCOlympics #UpwithCBC https://t.co/a2MDzkAn36"""	0
Luis Camacho	100
Reuben Terrado	1689
One News Page	855
"#Tokyo2020 #Olympics"""	0
Thakur Shekhar Singh Kushwaha ????????????????	210
"#hockeyindia https://t.co/genP2TCqE7"""	0
Top Tamil News	325
"#Olympics #MirabaiChanuÉ?? https://t.co/i7kqzIYRfs"""	1
Harrod Sport	1590
Aman Gupta	96
"She was 1-3 down and then won the 4-3 in #TableTennis and moves to second round.É?? https://t.co/GJOnF34Y6M"""	0
Heinz	56
"#Tokyo2020 #JapanÉ?? https://t.co/z0NeD7Vw1b"""	0
Roehl Sybing	750
GAME Cowley	106
"??ù? OlympÉ?? https://t.co/GYjIlVgh2t"""	0
the But Kickers	210
"#Tokyo2020 #football #JPN #GBR"""	0
SportsTiger	70
"#Boxing- Vikas Krishan loses 0-5 to SewonrÉ?? https://t.co/E5spM67T4V"""	3
Juan Aguerrevere	680
"That penalty save! #SWE #OlimpicosTelemundo #Tokyo2020"""	0
ShaBlah	695
"#MirabaiChanu #Tokyo2020"""	0
Little Bean	1997
Hari Priya CR	565
"#Boxing #Tokyo2020"""	0
vivi???ß harnasko/salos olympic podium	420
"#Olympics #Tokyo2020 https://t.co/GA7nqeiDUK"""	0
Anjelina P	74
UCDFANS	1594
I'm RAYA	5001
"#TEAMINA #Tokyo2020 #Olympics2020 #Weightlifting women #Bronze https://t.co/6B5IwPZgDU"""	0
????DEVI CAPITAL????	390
David Smith	2596
Shubham Pandey	8
"India's @mirabai_chanu wins SILVER medal- our first medal inÉ?? https://t.co/13NKIwWUrb"""	0
JK Lakshmi Cement	102
Bhavya Chand ???˙-Mask on	445
"Vikas Krishan loses to the Japanese opponent by unanimous deciÉ?? https://t.co/aIzcqWu43N"""	0
5hinee.freak	613
"#Tokyo2020 https://t.co/rN3WkR7p9N"""	0
Vrunda	435
"#Tokyo2020"""	0
Matt Barnes	1662
Express Sports	398
"Three-time Olympian Vikas Krishan loses the 69kg first-round bout to hometownÉ?? https://t.co/N6iLGDALvM"""	0
ZEr0 ???Åã?èÉü?	50
Nagesh Guttedar	959
"CongraÉ?? https://t.co/ksUAj6OkO8"""	0
Fiz???¯ã?è Sheikh	745
"#Olympics2020 #Tokyo2020 https://t.co/h1w7Es9aBr"""	1
Mohammad Farooq Inqlabi	7
Ö??Ö??ÖùçÖ??Öù? Ö??Ö?®Ö??Ö??????????	1760
"#Tokyo2020 https://t.co/ZQnKpE584H"""	0
Coach Siya Maloka	19046
"#SiyasM??ã?è"""	0
Salman Khawaja (#globalwoso)	1227
"#Tokyo2020 #Olympics https://t.co/4Y5W0vcRoJ"""	0
Anirban Paul	607
SAIMedia	546
?????¶ AMIT CHAUDHARY	205
"#Olympics #Tokyo2020 #Boxing https://t.co/4giBg5nUjh"""	0
Andy Robert Davies	3478
Matt Young	907
The Age	1216
SUMITTAR BHULLAR	540
The Times Of India	468
"#Boxing: Vikas Krishan loses 0-5 to Sewonrets Quincy Mensah Okazawa of JaÉ?? https://t.co/tD9QKml4Mg"""	3
Jatin.Vats???ç	215
Mark Hemingway ????	906
"The BBC isÉ?? https://t.co/AaQ1ibEM32"""	0
SR	69
"#Tokyo2020 #Olympics"""	0
Yasuhiro.M	468
"#DistriaKrasniqi https://t.co/9CxRfwttr0"""	0
Champions of Europe * *	9042
"Barbra Banda has now scored back-to-back hat-tricks. The firÉ?? https://t.co/5lbrJvXf5F"""	0
Kara Jurk	2737
DHRUVI	13
"#Tokyo2020 #Olympics #Cheers4IndiaÉ?? https://t.co/LuTebOMzom"""	0
def ???? | XIUOLO IS COMING	276
??fz?ˇl kh?ˇn ???????? ???Å???? ??????	279
Ö?¯Ö??Ö??Öù?Ö?Ê Ö??ÖùÅÖ??Ö??Ö?¯ Ö??Ö??Ö??Ö?ÊÖ??Ö?¯	347
"#Olympics https://t.co/zp3fVTml1C"""	0
The National	213
"https://t.co/7iW5xGFV3g"""	1
Mansing Bhor	214
Harsh Pachissiya	878
"#Tokyo2020"""	0
5haan	1442
Zaina Erhaim	651
"Mohamad and Allaa are fromÉ?? https://t.co/v4lpqBreMC"""	7
Mark Lagos	496
"#Tokyo2020"""	0
Ajanth Selvaraj	303
SwimSwam Live	114
"#Tokyo2020"""	2
The Bharat Army	1641
"???? @Tokyo2020 É?õ #MirabaiChanu #IndiaAtTokyo2020 #Tokyo2020 #OlympicsÉ?? https://t.co/qFBsJAp2HE"""	3
Kieran Gallop	4240
"#TableTennis #Tokyo2020 #Olympics"""	0
Sneha Jha	260
Daniel Carr	1156
Khel Now	85
?ù???ù???ù?Ò?ù?Ê?ù???ù?® ?ù?ú?ù?®?ù???ù?Å?ù???ù?´ ?ù???ù???ù?Ø?ù???ù?Ê	21
"Many many congratulations #MirabaiChanu for the 1st medal and we alÉ?? https://t.co/QorWm5NvVt"""	0
Vivek Mishra	1493
"#Tokyo2020 #Boxing"""	0
IndiaToday	248
"Listen in as India TodayÉ??s @rawatrahul9 speakÉ?? https://t.co/R6hqoqMIKd"""	7
Vinayakk	1052
"Boxing scoring is not the clearest many a time but there was simply no room for doubt in thatÉ?? https://t.co/qo9SNL8RAJ"""	2
Joey Villar	1063
Indian Olympic Dream	0
Pankaj Priyadershi	1571
Emma	766
"This is Japan's first gold medal of #Tokyo2020"""	0
Dr.Avinash Kr. Tiwari	2241
"InÉ?? https://t.co/DaflyG6NeA"""	0
???¨êêê?êêê?†??o É??É??É??É?ùÉ?úÉ?? ???????????Å???¯????????	562
" Los Suramericanos perdieron ????????"""	0
Girls on the Ball	3246
"#NEDBRA | #Tokyo2020 | #Olympics https://t.co/0seGGz13GC"""	1
BetBoro	124
"+25 T&amp;C https://t.co/w8gy7fILp3"""	0
