user_name	user_verified
Sportskeeda India	TRUE
NDTV Sports	TRUE
Rappler	TRUE
Shreya Ghoshal	TRUE
5 Dariya News	TRUE
Fentuo Tahiru Fentuo	TRUE
Rappler	TRUE
Josh Barrie	TRUE
Kim Valli??re	TRUE
Kareem Elgazzar	TRUE
Vlora ??itaku	TRUE
i sport	TRUE
Natasha Kundi ???¶?????? ???è??????	TRUE
airworldservice	TRUE
DD India	TRUE
Alexander Grant	TRUE
International Hockey Federation	TRUE
Devin Heroux	TRUE
Nikhil Nanda ????????	TRUE
International Hockey Federation	TRUE
Australian Swim Team	TRUE
Christopher Reive	TRUE
Great Britain Hockey	TRUE
DNA	TRUE
Chris Chang	TRUE
Marya Shakil	TRUE
Orlando Pride	TRUE
CS Punjab	TRUE
GK Zhimomi	TRUE
Kimberlee Downs	TRUE
Gulf News Sport	TRUE
Petrit Selimi	TRUE
International Hockey Federation	TRUE
Christopher Reive	TRUE
David DeGuzman WFXR	TRUE
The New Zealand Team	TRUE
Prasar Bharati News Services Ö?¶Öù?.Ö?™Öù?.Ö?èÖ??.Ö?èÖ??.	TRUE
Sandra ????????É?´ã?è	TRUE
Fly FM ???˝????	TRUE
Sokol Havolli	TRUE
Daniel H. Leussink	TRUE
Coca-Cola Africa	TRUE
IOL News	TRUE
Indian Sports Honours	TRUE
Devin Heroux	TRUE
Lionesses	TRUE
The FEI	TRUE
BBC Sport	TRUE
Great Britain Hockey	TRUE
EHA News	TRUE
5 Dariya News	TRUE
Roja Selvamani	TRUE
ZEE5 News	TRUE
International Hockey Federation	TRUE
Field Hockey Canada	TRUE
Visit Uganda	TRUE
Jason Whittaker	TRUE
Kiss 100 Kenya	TRUE
Rappler Sports	TRUE
Rappler	TRUE
Kyodo News Sports	TRUE
William Mallard	TRUE
Anand Pandit	TRUE
News18	TRUE
Bonita Mersiades	TRUE
Deccan Herald	TRUE
FOX Sports Asia	TRUE
BWF	TRUE
David Coverdale	TRUE
moneycontrol	TRUE
5 Dariya News	TRUE
Alexandros Maragos	TRUE
Team GB	TRUE
SuperSport Blitz	TRUE
Sportface	TRUE
The Philippine Star	TRUE
Manish Kaushik	TRUE
Dunzo	TRUE
Gandhi Arekapudi	TRUE
Meenakashi Lekhi	TRUE
The Age Sport	TRUE
International Hockey Federation	TRUE
Suzy Wrack	TRUE
Cage Warriors	TRUE
The Age	TRUE
Field Hockey Canada	TRUE
Vaishali Nigam Sinha	TRUE
Arsen Ostrovsky	TRUE
BBC Sport	TRUE
Outlook Magazine	TRUE
SonyLIV	TRUE
Express Sports	TRUE
Ramesh Chandra Majhi	TRUE
The Field	TRUE
(((Jon Benjamin))) ???™???????????Ò???™???????˝???´ É?≠ã?è	TRUE
Basketball Australia	TRUE
BOXXER	TRUE
Boxing Federation	TRUE
Devineni Avinash	TRUE
Mamta Dutta	TRUE
Daily Express	TRUE
AllForXI	TRUE
Paolo del Rosario	TRUE
Ian Parker	TRUE
Brett McKay	TRUE
Jade Morris	TRUE
Sport Wales	TRUE
BOOM Live	TRUE
BOOM Live	TRUE
BOOM Live	TRUE
BOOM Live	TRUE
BOOM Live	TRUE
International Hockey Federation	TRUE
News18 Sports	TRUE
DStvZimbabwe	TRUE
The Times Of India	TRUE
The Jerusalem Post	TRUE
DD India	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
Grace Gill	TRUE
Team Ireland	TRUE
Evan Morgan Grahame	TRUE
5 Dariya News	TRUE
@India in Cameroon	TRUE
sheila mwanyigha	TRUE
Field Hockey Canada	TRUE
SuperSport ??è?	TRUE
Cyclingnews.com	TRUE
International Hockey Federation	TRUE
Great Britain Hockey	TRUE
Saè≠a Ozmo	TRUE
Arlo White ????	TRUE
SAIMedia	TRUE
BBC Sport	TRUE
CAF Women	TRUE
Fentuo Tahiru Fentuo	TRUE
International Hockey Federation	TRUE
Alexander Grant	TRUE
 Bikes	TRUE
International Hockey Federation	TRUE
Matthew Herchik	TRUE
Ainul Huda	TRUE
PMO India	TRUE
Bloomberg TV	TRUE
International Hockey Federation	TRUE
Devin Heroux	TRUE
wally mason	TRUE
Pain In The Arsenal	TRUE
DT Next	TRUE
Travancore Royals FC	TRUE
Saè≠a Ozmo	TRUE
Firstpost Sports	TRUE
KJ George	TRUE
Phil Lutton	TRUE
Aftab Shivdasani ???˙	TRUE
Firstpost Sports	TRUE
IndiaToday	TRUE
Matt Elias	TRUE
Saè≠a Ozmo	TRUE
Rappler	TRUE
Sky Sports	TRUE
Sarah Gregorius	TRUE
SABC Sport	TRUE
RT?? Sport	TRUE
Anthony Moore	TRUE
Martin J P	TRUE
Davide Chinellato	TRUE
BERNAMA	TRUE
5 Dariya News	TRUE
International Hockey Federation	TRUE
Madeline Crittenden	TRUE
TheCable	TRUE
Luisa Morales	TRUE
Celestine Karoney	TRUE
C?≠diz CF ????????	TRUE
FIBA3x3 É?≠ã?è #3x3 #Tokyo2020	TRUE
TheCable	TRUE
BBC 5 Live Sport	TRUE
Sushmita Dev	TRUE
#Tokyo2020 for India	TRUE
Rappler Sports	TRUE
Rappler	TRUE
CAF Women	TRUE
TIMES NOW	TRUE
ITF	TRUE
Athlete365	TRUE
Natasha Kundi ???¶?????? ???è??????	TRUE
Gorakhpur Airport ????????	TRUE
International Hockey Federation	TRUE
Sportsnet	TRUE
Suzy Wrack	TRUE
Grace Gill	TRUE
International Hockey Federation	TRUE
90min	TRUE
SABC Sport	TRUE
World Athletics	TRUE
Chetan Bragta	TRUE
moneycontrol	TRUE
Cyclingnews.com	TRUE
International Hockey Federation	TRUE
Bajaj Allianz GIC	TRUE
ABC SPORT	TRUE
Telegraph Sport	TRUE
